,Infections,Deaths,r_eff,Diagnosis,Critical,r_eff_smooth,r_eff_static
61,18385.5,0.0,2.8031859517896183,20935.5,255.0,2.8031859517896183,2.286761910665089
62,23536.5,0.0,2.836017622024683,23434.5,306.0,2.836017622024683,2.286761910665089
63,24760.5,0.0,2.7998712498316096,26163.0,331.5,2.7998712498316096,2.286761910665089
64,26800.5,0.0,2.728467830786165,29044.5,357.0,2.728467830786165,2.286761910665089
65,30039.0,0.0,2.694896819898992,32716.5,408.0,2.694896819898992,2.286761910665089
66,35139.0,0.0,2.6617351423599027,36439.5,510.0,2.6617351423599027,2.286761910665089
67,36261.0,25.5,2.588726049288123,40417.5,535.5,2.588726049288123,2.286761910665089
68,40672.5,25.5,2.4995401400317725,44905.5,663.0,2.4995401400317725,2.286761910665089
69,44319.0,0.0,2.4031092168368544,49495.5,714.0,2.4031092168368544,2.286761910665089
70,44803.5,0.0,2.3063285266318427,54111.0,790.5,2.3063285266318427,2.286761910665089
71,51484.5,51.0,2.2175215059697764,59313.0,765.0,2.2175215059697764,2.286761910665089
72,53295.0,0.0,2.1071789157707426,64234.5,867.0,2.1071789157707426,2.286761910665089
73,53575.5,25.5,1.9790750572311882,69615.0,918.0,1.9790750572311882,2.286761910665089
74,56814.0,25.5,1.8766909430982222,74817.0,1096.5,1.8766909430982222,2.286761910665089
75,59925.0,51.0,1.8013988081245385,80427.0,1096.5,1.8013988081245385,2.286761910665089
76,62475.0,0.0,1.7261442397990117,86292.0,1147.5,1.7261442397990117,2.286761910665089
77,63469.5,25.5,1.6436226942067553,91851.0,1249.5,1.6436226942067553,2.286761910665089
78,64183.5,25.5,1.567063519083892,97563.0,1402.5,1.567063519083892,2.286761910665089
79,66835.5,25.5,1.50365106489229,103428.0,1555.5,1.50365106489229,2.286761910665089
80,67498.5,76.5,1.4422156717088486,109752.0,1683.0,1.4422156717088486,2.286761910665089
81,67855.5,76.5,1.3791562107352404,116025.0,1836.0,1.3791562107352404,2.286761910665089
82,66631.5,25.5,1.3316854247427123,121992.0,1963.5,1.3316854247427123,2.286761910665089
83,71629.5,51.0,1.3027796621355274,128443.5,2091.0,1.3027796621355274,2.286761910665089
84,71604.0,25.5,1.2651125610340157,134767.5,2371.5,1.2651125610340157,2.286761910665089
85,70023.0,102.0,1.206218494016257,140836.5,2575.5,1.206218494016257,2.286761910665089
86,66453.0,25.5,1.1532710508998805,147262.5,2779.5,1.1532710508998805,2.286761910665089
87,68926.5,0.0,1.1274973856196553,153408.0,3034.5,1.1274973856196553,2.286761910665089
88,70813.5,127.5,1.1098968964441853,159706.5,3238.5,1.1098968964441853,2.286761910665089
89,68824.5,51.0,1.0789185598929543,166030.5,3544.5,1.0789185598929543,2.286761910665089
90,67065.0,153.0,1.042336726112255,172609.5,3774.0,1.042336726112255,2.286761910665089
91,66300.0,76.5,1.0106004023329955,179265.0,4105.5,1.0106004023329955,2.286761910665089
92,64566.0,76.5,0.9832754717099289,185538.0,4207.5,0.9832754717099289,2.286761910665089
93,63214.5,153.0,0.9643244697072344,192040.5,4488.0,0.9643244697072344,2.286761910665089
94,64056.0,51.0,0.9551770029958921,198543.0,4972.5,0.9551770029958921,2.286761910665089
95,63393.0,153.0,0.9453866125218092,204994.5,5329.5,0.9453866125218092,2.286761910665089
96,62296.5,102.0,0.9259606876542139,211548.0,5686.5,0.9259606876542139,2.286761910665089
97,59593.5,25.5,0.9002838475293862,217948.5,5967.0,0.9002838475293862,2.286761910665089
98,57375.0,280.5,0.8778527360758699,224221.5,6094.5,0.8778527360758699,2.286761910665089
99,57375.0,153.0,0.8567151341947488,230622.0,6094.5,0.8567151341947488,2.286761910665089
100,54340.5,102.0,0.8303172834668737,237252.0,6502.5,0.8303172834668737,2.286761910665089
101,49929.0,306.0,0.8108875384119623,243805.5,6681.0,0.8108875384119623,2.286761910665089
102,52785.0,153.0,0.8036615507395521,250384.5,6783.0,0.8036615507395521,2.286761910665089
103,49954.5,127.5,0.7904922021131654,256632.0,7242.0,0.7904922021131654,2.286761910665089
104,45976.5,127.5,0.7697854357966727,263160.0,7293.0,0.7697854357966727,2.286761910665089
105,46359.0,102.0,0.753178933478194,269688.0,7420.5,0.753178933478194,2.286761910665089
106,43222.5,204.0,0.7386129660746164,276216.0,7242.0,0.7386129660746164,2.286761910665089
107,41412.0,382.5,0.7289896423139086,282208.5,7063.5,0.7289896423139086,2.286761910665089
108,40494.0,229.5,0.7318965863858818,288711.0,7089.0,0.7318965863858818,2.286761910665089
109,41820.0,127.5,0.7346642456869431,295188.0,7140.0,0.7346642456869431,2.286761910665089
110,37791.0,229.5,0.7145329493692045,301129.5,7267.5,0.7145329493692045,2.286761910665089
111,35878.5,178.5,0.6997830355156733,300823.5,7140.0,0.6997830355156733,2.286761910665089
