,Infections,Deaths,r_eff,Diagnosis,Critical,r_eff_smooth,r_eff_static
69,75760.5,178.5,2.5670939262466597,79815.0,9945.0,2.5670939262466597,2.928564105451736
70,79101.0,204.0,2.4279700338628456,85348.5,11781.0,2.4279700338628456,2.928564105451736
71,81396.0,153.0,2.2792944046332675,91290.0,13107.0,2.2792944046332675,2.928564105451736
72,83410.5,229.5,2.142745828222357,97614.0,15096.0,2.142745828222357,2.928564105451736
73,85807.5,331.5,2.0240908737628938,103963.5,17365.5,2.0240908737628938,2.928564105451736
74,88842.0,255.0,1.9140032003541436,110236.5,20068.5,1.9140032003541436,2.928564105451736
75,88816.5,459.0,1.8017123027639312,116790.0,22465.5,1.8017123027639312,2.928564105451736
76,89173.5,357.0,1.6961583196572807,123522.0,24531.0,1.6961583196572807,2.928564105451736
77,89301.0,637.5,1.6127076825646243,129897.0,27693.0,1.6127076825646243,2.928564105451736
78,93763.5,714.0,1.543807532930629,136348.5,30625.5,1.543807532930629,2.928564105451736
79,90754.5,918.0,1.476877409184057,142825.5,33405.0,1.476877409184057,2.928564105451736
80,91927.5,867.0,1.4199217583593664,149328.0,36618.0,1.4199217583593664,2.928564105451736
81,93763.5,739.5,1.37576648902991,155728.5,39882.0,1.37576648902991,2.928564105451736
82,92820.0,1071.0,1.3329752238586654,162333.0,43630.5,1.3329752238586654,2.928564105451736
83,92973.0,1045.5,1.286897341208441,168631.5,47685.0,1.286897341208441,2.928564105451736
84,91417.5,1351.5,1.238847009024172,174981.0,50949.0,1.238847009024172,2.928564105451736
85,89760.0,1275.0,1.1914472519841632,181432.5,54544.5,1.1914472519841632,2.928564105451736
86,89097.0,1351.5,1.1480476572324179,187731.0,58395.0,1.1480476572324179,2.928564105451736
87,87133.5,1224.0,1.110423437925079,194131.5,62449.5,1.110423437925079,2.928564105451736
88,86547.0,1657.5,1.0771438946734866,200430.0,65968.5,1.0771438946734866,2.928564105451736
89,85629.0,1836.0,1.0427779071477405,207009.0,68595.0,1.0427779071477405,2.928564105451736
90,81549.0,1657.5,1.006600260585287,213664.5,72624.0,1.006600260585287,2.928564105451736
91,81370.5,2193.0,0.9751134487973118,220141.5,74944.5,0.9751134487973118,2.928564105451736
92,77928.0,1581.0,0.9527055870539402,226873.5,77494.5,0.9527055870539402,2.928564105451736
93,79636.5,2244.0,0.9350350165096242,233095.5,80503.5,0.9350350165096242,2.928564105451736
94,76245.0,2269.5,0.9136938139743775,239623.5,82798.5,0.9136938139743775,2.928564105451736
95,74409.0,2575.5,0.8875773311718234,245973.0,85374.0,0.8875773311718234,2.928564105451736
96,72292.5,2397.0,0.8607036673591104,252118.5,86878.5,0.8607036673591104,2.928564105451736
97,68340.0,2499.0,0.8353324069801981,258519.0,88587.0,0.8353324069801981,2.928564105451736
98,68008.5,2422.5,0.8110836379118005,264945.0,90856.5,0.8110836379118005,2.928564105451736
99,63418.5,2575.5,0.7863270502138818,271524.0,91774.5,0.7863270502138818,2.928564105451736
100,62067.0,2193.0,0.7633482339320233,277771.5,92616.0,0.7633482339320233,2.928564105451736
101,58344.0,2575.5,0.747217286281587,284044.5,93279.0,0.747217286281587,2.928564105451736
102,58216.5,2626.5,0.737379465967314,290368.5,93228.0,0.737379465967314,2.928564105451736
103,56049.0,2295.0,0.7247656558712998,296437.5,93483.0,0.7247656558712998,2.928564105451736
104,53371.5,2728.5,0.7035257644564599,302863.5,93355.5,0.7035257644564599,2.928564105451736
105,49087.5,2167.5,0.6798222519303513,309162.0,92998.5,0.6798222519303513,2.928564105451736
106,47812.5,2728.5,0.6591353878416377,315180.0,92131.5,0.6591353878416377,2.928564105451736
107,44625.0,2193.0,0.6406317162645926,321682.5,92310.0,0.6406317162645926,2.928564105451736
108,41718.0,2703.0,0.6274774061147481,327751.5,90933.0,0.6274774061147481,2.928564105451736
109,41590.5,2830.5,0.6201404958269143,334101.0,88740.0,0.6201404958269143,2.928564105451736
110,39321.0,2422.5,0.6136662158351125,340119.0,86776.5,0.6136662158351125,2.928564105451736
111,36924.0,2269.5,0.591660712971916,339456.0,84430.5,0.591660712971916,2.928564105451736
